name,link,salary,min_salary,max_salary,currency,city,main_link
Senior/Teamlead Python developer,https://hh.ru/vacancy/37900432?query=python,"['до', '300', '000', 'руб.']",,300000,руб.,Санкт-Петербург,https://hh.ru
Python Developer (Vitebsk),https://hh.ru/vacancy/37615496?query=python,,,,,Витебск,https://hh.ru
Python developer,https://hh.ru/vacancy/37788379?query=python,"['до', '200', '000', 'руб.']",,200000,руб.,Москва,https://hh.ru
Python разработчик,https://hh.ru/vacancy/38011607?query=python,"['100', '000', '180', '000', 'руб.']",100000,180000,руб.,Москва,https://hh.ru
Программист Python,https://hh.ru/vacancy/37783081?query=python,"['до', '96', '000', 'руб.']",,96000,руб.,Саратов,https://hh.ru
Программист (Python),https://hh.ru/vacancy/36475390?query=python,,,,,Самара,https://hh.ru
Python/Django разработчик,https://hh.ru/vacancy/35110031?query=python,,,,,Томск,https://hh.ru
Backend-разработчик (Python),https://hh.ru/vacancy/36486397?query=python,,,,,Ростов-на-Дону,https://hh.ru
Ведущий программист (Python),https://hh.ru/vacancy/37729816?query=python,,,,,Москва,https://hh.ru
Python Developer,https://hh.ru/vacancy/34767945?query=python,"['от', '200', '000', 'руб.']",200000,,руб.,Санкт-Петербург,https://hh.ru
Разработчик Python,https://hh.ru/vacancy/36593364?query=python,,,,,Москва,https://hh.ru
Python Developer,https://hh.ru/vacancy/37820640?query=python,,,,,Нижний Новгород,https://hh.ru
Ведущий программист Python,https://hh.ru/vacancy/38117540?query=python,"['45', '000', '90', '000', 'руб.']",45000,90000,руб.,Чебоксары,https://hh.ru
Старший инженер по автоматизации тестирования (Python),https://superjob.ru/vakansii/starshij-inzhener-po-avtomatizacii-testirovaniya-34034531.html,,,,,Москва,https://superjob.ru
Аналитик решений для моделирования hadoop,https://superjob.ru/vakansii/analitik-reshenij-dlya-modelirovaniya-hadoop-34185550.html,,,,,Москва,https://superjob.ru
Разработчик Java (senior),https://superjob.ru/vakansii/razrabotchik-java-34093245.html,,,,,Москва,https://superjob.ru
Web-аналитик,https://superjob.ru/vakansii/web-analitik-33473129.html,"['100', '000', '—', '120', '000', 'руб.']",100000,—120,руб.,Москва,https://superjob.ru
Go developer,https://superjob.ru/vakansii/go-developer-34127774.html,"['до', '300', '000', 'руб.']",,300000,руб.,Москва,https://superjob.ru
Заместитель главного инженера по инфраструктуре,https://superjob.ru/vakansii/zamestitel-glavnogo-inzhenera-po-infrastrukture-34082308.html,,,,,Москва,https://superjob.ru
Junior C/C++ Developer,https://superjob.ru/vakansii/junior-c-33932788.html,,,,,Москва,https://superjob.ru
Senior Backend Developer,https://superjob.ru/vakansii/senior-backend-developer-34069324.html,,,,,Москва,https://superjob.ru
DevOps инженер,https://superjob.ru/vakansii/devops-inzhener-34131600.html,,,,,Москва,https://superjob.ru
Преподаватель компьютерных IT курсов и дизайна,https://superjob.ru/vakansii/prepodavatel-kompyuternyh-it-kursov-i-dizajna-34090670.html,"['до', '150', '000', 'руб.']",,150000,руб.,Москва,https://superjob.ru
Биомедицинский статистик,https://superjob.ru/vakansii/biomedicinskij-statistik-33970231.html,"['от', '80', '000', 'руб.']",80000,,руб.,Москва,https://superjob.ru
DevOps Engineer,https://superjob.ru/vakansii/devops-engineer-34158865.html,,,,,Москва,https://superjob.ru
Инженер по системам ИТ-мониторинга,https://superjob.ru/vakansii/inzhener-po-sistemam-it-monitoringa-34053494.html,"['180', '000', '—', '200', '000', 'руб.']",180000,—200,руб.,Москва,https://superjob.ru
Инженер-программист,https://superjob.ru/vakansii/inzhener-programmist-30030397.html,"['от', '50', '000', 'руб.']",50000,,руб.,Москва,https://superjob.ru
BI-аналитик (программист),https://superjob.ru/vakansii/bi-analitik-34065795.html,,,,,Москва,https://superjob.ru
Учитель информатики,https://superjob.ru/vakansii/uchitel-informatiki-32382712.html,"['от', '78', '000', 'руб.']",78000,,руб.,Москва,https://superjob.ru
